"IP Address","DNS Name"
"10.82.1.57","db-qualys-078.example.internal"
"10.82.1.21","virt-qualys-042.example.internal"
"10.82.1.60","lnx-qualys-081.example.internal"
"10.82.1.29","cld-qualys-050.example.internal"
"10.30.11.57","asset-037.corp.local"
"10.82.1.77","virt-qualys-098.example.internal"
"10.30.15.52","asset-032.corp.local"
"10.30.12.58","asset-038.corp.local"
"10.82.1.40","cld-qualys-061.example.internal"
"10.30.12.31","asset-011.corp.local"
"10.30.12.49","asset-029.corp.local"
"10.82.1.50","ep-qualys-071.example.internal"
"10.82.1.70","cld-qualys-091.example.internal"
"10.30.18.46","asset-026.corp.local"
"10.82.1.37","virt-qualys-058.example.internal"
"10.30.17.27","asset-007.corp.local"
"10.30.15.43","asset-023.corp.local"
"10.30.10.38","asset-018.corp.local"
"10.30.10.56","asset-036.corp.local"
"10.82.1.42","ep-qualys-063.example.internal"
"10.30.15.34","asset-014.corp.local"
"10.30.12.40","asset-020.corp.local"
"10.30.17.45","asset-025.corp.local"
"10.30.16.35","asset-015.corp.local"
"10.82.1.22","sec-qualys-043.example.internal"
"10.82.1.47","win-qualys-068.example.internal"
"10.30.16.26","asset-006.corp.local"
"10.30.14.24","asset-004.corp.local"
"10.82.1.41","virt-qualys-062.example.internal"
"10.82.1.38","db-qualys-059.example.internal"
"10.30.15.25","asset-005.corp.local"
"10.82.1.24","virt-qualys-045.example.internal"
"10.82.1.59","lnx-qualys-080.example.internal"
"10.82.1.23","win-qualys-044.example.internal"
"10.82.1.62","virt-qualys-083.example.internal"
"10.30.14.33","asset-013.corp.local"
"10.82.1.32","ep-qualys-053.example.internal"
"10.30.13.32","asset-012.corp.local"
"10.82.1.65","win-qualys-086.example.internal"
"10.82.1.54","cld-qualys-075.example.internal"
"10.30.10.29","asset-009.corp.local"
"10.30.11.21","asset-001.corp.local"
"198.51.22.20","unmanaged-qualys-1.example.net"
"203.0.113.40","contractor-qualys-1.example.net"
"192.0.2.40","lab-qualys-1.external.example"
"10.82.1.57","db-qualys-078.example.internal"
"10.82.1.21","virt-qualys-042.example.internal"
